Wall time,Step,Value
1695146178.0390007,307,2322.1259765625
1695146182.3576503,308,2321.9853515625
1695146190.9545271,310,2321.896240234375
1695146203.8750582,313,2321.9599609375
1695146221.133719,317,2322.09130859375
1695146225.4162273,318,2322.1259765625
1695146229.7221904,319,2322.2216796875
1695146234.0044866,320,2322.093994140625
1695146242.6140523,322,2322.359619140625
1695146255.493853,325,2322.17724609375
1695146259.8211029,326,2322.267578125
1695146264.1531498,327,2322.31201171875
1695146277.0534275,330,2322.20556640625
1695146281.3718472,331,2322.194580078125
1695146289.9914176,333,2322.18408203125
1695146315.7831602,339,2322.00146484375
1695146324.4109242,341,2322.33203125
1695146337.4310477,344,2321.949462890625
1695146341.7764943,345,2322.355712890625
1695146350.356705,347,2322.27978515625
1695146354.6442761,348,2322.12646484375
1695146376.1484306,353,2322.135498046875
1695146380.4429996,354,2321.9296875
1695146389.0376382,356,2321.494140625
1695146397.6361663,358,2320.53173828125
1695146401.9664388,359,2320.423095703125
1695146406.2551174,360,2320.394287109375
1695146419.1511009,363,2319.812255859375
1695146423.4446259,364,2319.710205078125
1695146436.4196217,367,2318.7451171875
1695146440.7397337,368,2318.766845703125
1695146449.3595624,370,2318.498046875
1695146453.6514843,371,2318.664306640625
1695146462.271389,373,2318.357177734375
1695146479.4826725,377,2317.799560546875
1695146483.7793276,378,2317.8369140625
1695146488.0689385,379,2317.7978515625
1695146496.7146084,381,2317.92138671875
1695146500.9949186,382,2318.020751953125
1695146513.8723495,385,2317.7880859375
1695146518.1725547,386,2317.952880859375
1695146522.4857397,387,2318.02490234375
1695146526.766954,388,2317.801513671875
1695146535.4077532,390,2317.662841796875
1695146539.7396677,391,2317.80615234375
1695146544.0467026,392,2317.86328125
1695146548.3422272,393,2317.623291015625
1695146587.039801,402,2317.9462890625
1695146591.3651369,403,2318.005126953125
1695146600.0310118,405,2317.927978515625
1695146612.929176,408,2317.961669921875
1695146643.120079,415,2317.837646484375
1695146647.3974607,416,2317.997802734375
1695146664.6017406,420,2318.158935546875
1695146668.9162657,421,2318.31640625
1695146673.2201283,422,2318.082275390625
1695146681.8188262,424,2318.510498046875
1695146690.4455717,426,2318.408935546875
1695146707.6147747,430,2318.594970703125
1695146746.3876584,439,2321.063720703125
1695146750.6838024,440,2320.7548828125
1695146755.009239,441,2321.0947265625
1695146759.2886477,442,2321.08349609375
1695146767.907211,444,2321.18212890625
1695146772.1991909,445,2321.414306640625
1695146785.081436,448,2321.663330078125
1695146797.9671695,451,2321.466552734375
1695146828.0320632,458,2321.226318359375
1695146832.3287115,459,2321.468505859375
1695146836.6119585,460,2321.767333984375
1695146840.90783,461,2321.396728515625
1695146849.529963,463,2321.509521484375
1695146853.8303432,464,2321.52490234375
1695146858.1630738,465,2321.49658203125
1695146866.763079,467,2321.5966796875
1695146871.152598,468,2321.575927734375
1695146875.4639814,469,2321.55419921875
1695146884.0682595,471,2321.544921875
1695146892.6623688,473,2321.529541015625
1695146896.992741,474,2321.3759765625
1695146914.1666667,478,2321.820556640625
1695146944.2587492,485,2321.8232421875
1695146957.119385,488,2321.857421875
1695146961.4188359,489,2321.787109375
1695146970.057988,491,2321.708251953125
1695146978.663749,493,2321.835205078125
1695146991.5921092,496,2321.529296875
1695147038.821409,507,2321.6474609375
1695147051.767703,510,2321.874755859375
1695147056.0661933,511,2322.132568359375
1695147060.3818684,512,2321.93603515625
1695147069.0130038,514,2321.815673828125
1695147077.6308558,516,2321.696044921875
1695147081.9222994,517,2321.815185546875
1695147090.5417368,519,2322.145263671875
1695147112.0543065,524,2321.90576171875
1695147116.3463023,525,2321.779052734375
1695147142.1500525,531,2321.91259765625
1695147150.7456577,533,2321.77099609375
1695147155.042801,534,2321.815673828125
1695147159.33385,535,2321.953125
1695147163.7188463,536,2322.017578125
1695147168.0415723,537,2321.649658203125
1695147172.3590293,538,2321.787109375
1695147176.6555355,539,2321.83203125
1695147180.953865,540,2321.726806640625
1695147185.2504303,541,2321.956298828125
1695147189.556306,542,2321.77685546875
1695147198.1680903,544,2321.975830078125
1695147211.1079462,547,2321.966552734375
1695147215.4045706,548,2322.02978515625
1695147219.6993291,549,2321.859619140625
1695147228.2835717,551,2321.84814453125
1695147245.4878197,555,2321.843505859375
1695147254.095239,557,2321.920654296875
1695147262.6949346,559,2321.72216796875
1695147279.8842509,563,2322.07763671875
1695147284.1712043,564,2322.215576171875
1695147288.4854498,565,2321.844970703125
1695147297.0635984,567,2321.8369140625
1695147305.6568906,569,2321.855712890625
1695147314.2417006,571,2321.947021484375
1695147322.8209124,573,2322.05859375
1695147327.1189687,574,2322.20947265625
1695147340.0715756,577,2321.734619140625
1695147348.6911833,579,2322.13818359375
1695147352.9775536,580,2322.303955078125
1695147357.2921298,581,2321.941650390625
1695147361.585843,582,2322.054931640625
1695147365.8967202,583,2321.711669921875
1695147370.184468,584,2321.81884765625
1695147378.765149,586,2321.960693359375
1695147383.09237,587,2321.8349609375
1695147404.5856643,592,2322.08837890625
1695147408.9041483,593,2322.135498046875
1695147417.5202625,595,2321.995361328125
1695147421.8160405,596,2322.2998046875
1695147426.1466992,597,2322.235595703125
1695147439.025518,600,2322.023681640625
1695147447.6358688,602,2322.29736328125
1695147456.2635024,604,2322.045654296875
1695147464.8909786,606,2322.130859375
1695147473.485306,608,2322.019775390625
1695147482.1003978,610,2322.0439453125
1695147486.45631,611,2321.9990234375
1695147490.7714565,612,2322.117919921875
1695147503.7733674,615,2322.065185546875
1695147521.0557704,619,2322.312744140625
1695147525.3461173,620,2321.839111328125
1695147533.9231615,622,2322.3544921875
